delo,plača neto,kraj,delovnik,trajanje
STREŽBA,7.12 €/h neto,LENDAVA,PO DOGOVORU,PO DOGOVORU
DELO NA TERENU,8.25 €/h neto,LJUBLJANA ŠIŠKA,DOPOLDAN,PO DOGOVORU 
STREŽBA,8.00 €/h neto,IZOLA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
ČIŠČENJE,6.20 €/h neto,PREBOLD,IZMENSKO,POČITNIŠKO DELO
POMOČ V STREŽBI,PO DOGOVORU,RADOVLJICA,PO DOGOVORU,PO DOGOVORU
ZDRAVSTVENA NEGA,7.50 €/h neto,ANKARAN,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,PO DOGOVORU,LANCOVO,PO DOGOVORU,PO DOGOVORU
DELO NA BENCINSKEM SERVISU,8.00 €/h neto,LUCIJA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,PO DOGOVORU,ZAPUŽE,PO DOGOVORU,PO DOGOVORU
STREŽBA,7.50 €/h neto,IZOLA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,PO DOGOVORU,KRANJ,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
KLICNI CENTER,7.50 €/h neto,MARIBOR,DOPOLDAN,PO DOGOVORU
INFORMATIKA,8.00 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
KURIR/KA,7.50 €/h neto,LENART,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
ADMINISTRATIVNA DELA,8.50 €/h neto,LJUBLJANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V TURIZMU,7.14 €/h neto,PORTOROŽ,IZMENSKO,POČITNIŠKO DELO
INFORMATIKA,8.00 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
BLAGAJNIK,8.61 €/h neto,SEŽANA,PO DOGOVORU,PO DOGOVORU
STREŽBA,8.00 €/h neto,LJUTOMER,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
ADMINISTRATIVNA DELA,7.12 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
ADMINISTRATIVNA DELA,7.00 €/h neto,KRIŽE,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,8.61 €/h neto,GORNJA RADGONA,PO DOGOVORU,PO DOGOVORU
STREŽBA,7.50 €/h neto,KOPER,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
UČITELJ/ICA PLAVANJA,15.00 €/h neto,MARIBOR,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V KUHINJI,7.50 €/h neto,LJUBLJANA,PO DOGOVORU,PO DOGOVORU
STREŽBA,7.00 €/h neto,CERKNO,IZMENSKO,PO DOGOVORU 
STROJNIŠKA DELA,8.50 €/h neto,LJUBLJANA OZ. OD DOMA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V PROIZVODNJI,8.00 €/h neto,ŠKOFJA LOKA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA HRANE IN PIJAČE,8.00 €/h neto,LJUBLJANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,10.00 €/h neto,KAMNIK,MED VIKENDI,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA HRANE IN PIJAČE,7.64 €/h neto,VUZENICA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
SOBAR/ICA,9.00 €/h neto,BLED,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
KURIR/KA,8.00 €/h neto,SLOVENSKA BISTRICA,DOPOLDAN,PO DOGOVORU
KURIR/KA,8.00 €/h neto,PTUJ,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,7.50 €/h neto,ŠENTJERNEJ,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
"UREJANJE DRUŽ. OMREŽIJ (FB,IN,TW,TIK TOK)",PO DOGOVORU,LJUBLJANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V PROIZVODNJI,6.50 €/h neto,BOROVNICA,DOPOLDAN,POČITNIŠKO DELO
OBDELAVA PODATKOV,6.20 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,8.08 €/h neto,TRBOVLJE,IZMENSKO,PO DOGOVORU
TAJNIŠKA DELA,6.88 €/h neto,LENDAVA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,6.88 €/h neto,MARIBOR,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ PRI PRODAJI,6.20 €/h neto,KOPER,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,9.16 €/h neto,ŽALEC,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
NASTOP,12.00 €/h neto,KRANJSKA GORA,POPOLDAN,DO 31. 8. 2024
POMOČ V KUHINJI,7.00 €/h neto,MARIBOR,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
GRADBENA DELA,8.00 €/h neto,TOLMIN,DOPOLDAN,CCA. DO 23. 8. 2024. 
DELO NA RECEPCIJI,8.00 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
PRODAJA,10.00 €/h neto,KOPER,PO DOGOVORU,POČITNIŠKO DELO
DELO V PROIZVODNJI,7.00 €/h neto,LJUBLJANA - VIČ,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V SKLADIŠČU IN PROD. CENTRIH,8.61 €/h neto,LJUBLJANA BTC,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
POLNJENJE POLIC,6.20 €/h neto,JESENICE,PO DOGOVORU,"8. 8., 9. 8., 15. 8. IN 16. 8. "
PRODAJA,6.62 €/h neto,KRANJ,IZMENSKO,DLJE ČASA
PRODAJA,7.74 €/h neto,DOMŽALE,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
ADMINISTRATIVNA DELA,7.74 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V PROIZVODNJI,7.50 €/h neto,LENART,IZMENSKO,POČITNIŠKO DELO
ČIŠČENJE,7.00 €/h neto,VELENJE,PO DOGOVORU,POČITNIŠKO DELO
ČIŠČENJE,7.00 €/h neto,MARIBOR,POPOLDAN,POČITNIŠKO DELO
STREŽBA,9.00 €/h neto,LJUBLJANA,PO DOGOVORU,PO DOGOVORU
DELO V KUHINJI,PO DOGOVORU,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,6.20 €/h neto,MARIBOR,POPOLDAN,PO DOGOVORU
DEKLARIRANJE,6.88 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA HRANE IN PIJAČE,8.50 €/h neto,BOHINJ,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
PRODAJA,7.64 €/h neto,LJUBLJANA CENTER,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
ČIŠČENJE,7.50 €/h neto,LJUBLJANA,PO DOGOVORU,MED POČITNICAMI
DELO V PROIZVODNJI,8.00 €/h neto,LOGATEC,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
PROGRAMIRANJE,8.61 €/h neto,KRANJ,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V TRGOVINI,7.00 €/h neto,KOPER,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V STREŽBI,7.00 €/h neto,POSTOJNA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V TRGOVINI,6.20 €/h neto,LJUBLJANA CENTER,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
ČIŠČENJE,7.00 €/h neto,PTUJ,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V KUHINJI,9.50 €/h neto,DOB PRI DOMŽALAH,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA HRANE IN PIJAČE,7.00 €/h neto,KOPER,POPOLDAN,PO DOGOVORU
STREŽBA HRANE IN PIJAČE,8.50 €/h neto,PESNICA PRI MARIBORU,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
KOZMETIČNE STORITVE,7.00 €/h neto,LITIJA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V ZDRAVSTVU,8.00 €/h neto,CELJE,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V STREŽBI,7.00 €/h neto,CELJE,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
ADMINISTRATIVNA DELA,8.00 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V LOGISTIKI,7.50 €/h neto,ŠKOFJA LOKA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
LAŽJA FIZIČNA DELA,6.26 €/h neto,PORTOROŽ,DOPOLDAN,POČITNIŠKO DELO
POMOČ V KUHINJI,8.00 €/h neto,LJUBLJANA - CENTER,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V LABORATORIJU,6.20 €/h neto,LENDAVA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO NA RAČUNALNIKU,6.88 €/h neto,LJUBLJANA ČRNUČE,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V KUHINJI,7.00 €/h neto,DOBROVO,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO Z OTROKI,7.43 €/h neto,ŽUŽEMBERK,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,7.00 €/h neto,ZAGORJE,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
ZAHTEVNA ADMINISTRATIVNA DELA,6.88 €/h neto,ŠEMPETER V SAVINJSKI DOLINI,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STROKOVNO DELO,PO DOGOVORU,LJUBLJANA/DELO OD DOMA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V PROIZVODNJI,6.97 €/h neto,ŽIRI,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V PROIZVODNJI,7.74 €/h neto,LOGATEC,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO NA BENCINSKEM SERVISU,9.04 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
PAKIRANJE,6.20 €/h neto,TRZIN,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V LABORATORIJU,6.20 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ PRI PRODAJI,6.20 €/h neto,LJUBLJANA,PO DOGOVORU,POČITNIŠKO DELO
DELO V PROIZVODNJI,6.37 €/h neto,POSTOJNA,IZMENSKO,DO KONCA SEPTEMBRA
ZDRAVSTVENA NEGA,6.88 €/h neto,KRANJ,IZMENSKO,PO DOGOVORU
"UREJANJE DRUŽ. OMREŽIJ (FB,IN,TW,TIK TOK)",10.00 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO NA RAČUNALNIKU,7.00 €/h neto,LJUBLJANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,8.00 €/h neto,MARIBOR,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
POSPEŠEVANJE PRODAJE,12.91 €/h neto,LJUBLJANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
VODENJE,8.61 €/h neto,RADOMLJE,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V PROIZVODNJI,7.50 €/h neto,ŠKOFLJICA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V STREŽBI,8.50 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
ADMINISTRATIVNA DELA,7.00 €/h neto,MARIBOR,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V KUHINJI,9.00 €/h neto,BOHINJ,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
INŠTRUKCIJE,9.00 €/h neto,LJUBLJANA,PO DOGOVORU,PO DOGOVORU
STREŽBA,7.50 €/h neto,LJUBLJANA,POPOLDAN,POČITNIŠKO DELO
POMOČ V STREŽBI,8.00 €/h neto,LUCIJA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,8.00 €/h neto,FOKOVCI PRI MORAVSKIH TOPLICAH,MED VIKENDI,DLJE ČASA (ZAČ. IN OBČ. DELO)
ORGANIZACIJSKA DELA,8.50 €/h neto,LJUBLJANA BTC,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,6.20 €/h neto,MOZIRJE,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V STREŽBI,6.20 €/h neto,KRANJ,IZMENSKO,POČITNIŠKO DELO
STREŽBA,7.00 €/h neto,MARIBOR,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
DIGITALNI MARKETING,PO DOGOVORU,MARIBOR,PO DOGOVORU,"MED POČITNICAMI, NAPREJ PO DOGOVORU"
DELO NA TERENU,8.00 €/h neto,PO SLOVENIJI,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
VADITELJ/ICA,10.00 €/h neto,CELJE IN OKOLICA,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V STREŽBI,PO DOGOVORU,BLED,PO DOGOVORU,POČITNIŠKO DELO
LAŽJA FIZIČNA DELA,6.20 €/h neto,ŠKOFJA LOKA,IZMENSKO,MED POČITNICAMI
DELO V TURIZMU,PO DOGOVORU,BLED,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V PROIZVODNJI,8.61 €/h neto,LENART,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,6.88 €/h neto,LENART,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V KUHINJI,8.00 €/h neto,DOLENJE PRI JELŠANAH,PO DOGOVORU,PO DOGOVORU
STREŽBA,7.74 €/h neto,DOMŽALE,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
LEKTORIRANJE,6.71 €/h neto,LJUBLJANA - OD DOMA,DOPOLDAN,2-3 TEDNE
INFORMATIKA,7.00 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
ČIŠČENJE,7.06 €/h neto,KOPER,PO DOGOVORU,POČITNIŠKO DELO
ČIŠČENJE,7.50 €/h neto,LJUBLJANA,PO DOGOVORU,DO 18. 8. 2024
POMOČNIK VZGOJITELJA/VZGOJITELJICE,8.50 €/h neto,ŠKOFJA LOKA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
GRADBENA DELA,7.14 €/h neto,JESENICE,IZMENSKO,POČITNIŠKO DELO
POMOČ V TRGOVINI,6.20 €/h neto,POSTOJNA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA HRANE IN PIJAČE,9.00 €/h neto,IZOLA,POPOLDAN,POČITNIŠKO DELO
TELEFONIST,7.74 €/h neto,RADOMLJE,DOPOLDAN,PO DOGOVORU
DELO V KUHINJI,8.00 €/h neto,LJUBLJANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V KUHINJI,7.00 €/h neto,LJUBLJANA CENTER,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
REDITELJ,8.00 €/h neto,TOLMIN,IZMENSKO,8 DNI
DIGITALNI MARKETING,6.20 €/h neto,IG,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
ADMINISTRATIVNA DELA,6.20 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
PROJEKTIRANJE,7.06 €/h neto,GORNJA RADGONA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V PROIZVODNJI,6.20 €/h neto,RAVNE NA KOROŠKEM,IZMENSKO,ČEZ POČITNICE 
POMOČ V STREŽBI,7.74 €/h neto,LJUBLJANA NOVE JARŠE,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,7.74 €/h neto,LJUBLJANA NOVE JARŠE,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ PRI PRODAJI,6.20 €/h neto,MENGEŠ,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V SKLADIŠČU,7.12 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,8.00 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
LEPLJENJE,6.20 €/h neto,ŠKOFJA LOKA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POUČEVANJE,9.47 €/h neto,DOMŽALE,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
GRADBENA DELA,7.74 €/h neto,KRANJ,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
SPREMLJEVALEC/ SPREMLJEVALKA,7.11 €/h neto,ANKARAN,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA HRANE IN PIJAČE,10.00 €/h neto,ZGORNJA LOŽNICA,MED VIKENDI,DLJE ČASA (ZAČ. IN OBČ. DELO)
UREJANJE OKOLICE,6.20 €/h neto,KRŠKO,DOPOLDAN,POČITNIŠKO DELO
POMOČ V KUHINJI,15.00 €/h neto,GORNJA RADGONA,PO DOGOVORU,PO DOGOVORU
POMOČ V KUHINJI,8.00 €/h neto,LJUBLJANA CENTER,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ PRI PRODAJI,6.20 €/h neto,KRANJ,PO DOGOVORU,PO DOGOVORU
DELO NA RECEPCIJI,6.50 €/h neto,LJUBLJANA,MED VIKENDI,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ PRI PRODAJI,8.00 €/h neto,KRANJ,DOPOLDAN,PO DOGOVORU
DELO V PROIZVODNJI,6.88 €/h neto,ŠKOFJA LOKA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,PO DOGOVORU,PETROVČE,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO NA BENCINSKEM SERVISU,7.00 €/h neto,LJUBLJANA ČRNUČE,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,8.00 €/h neto,PODGRAD,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V SKLADIŠČU,6.45 €/h neto,ŠEMPETER V SAVINJSKI DOLINI,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V PROIZVODNJI,6.50 €/h neto,KOZINA,IZMENSKO,POČITNIŠKO DELO
NEGOVANJE,6.20 €/h neto,GOLNIK,PO DOGOVORU,POČITNIŠKO DELO
STREŽBA HRANE IN PIJAČE,6.88 €/h neto,ZGORNJA BESNICA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ PRI PRODAJI,7.00 €/h neto,MOZIRJE,POPOLDAN,DO 31. 8. 2024
DELO NA RECEPCIJI,7.00 €/h neto,MOZIRJE,IZMENSKO,DO 31. 8. 2024
STREŽBA,7.00 €/h neto,CERKLJE NA GORENJSKEM,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,8.00 €/h neto,NOVA GORICA,POPOLDAN,PO DOGOVORU
STREŽBA HRANE IN PIJAČE,8.00 €/h neto,LJUBLJANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA HRANE IN PIJAČE,7.50 €/h neto,LJUBLJANA RUDNIK,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
PROMOCIJA,7.12 €/h neto,MARIBOR,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
PROMOCIJA,7.12 €/h neto,LJUBLJANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
PROMOCIJA,7.12 €/h neto,KOPER,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V SKLADIŠČU,6.20 €/h neto,KOPER,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,7.74 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
MONTAŽA,7.31 €/h neto,GROSUPLJE,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V TRGOVINI,6.20 €/h neto,LJUBLJANA RUDNIK,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
SPREMLJEVALEC/ SPREMLJEVALKA,7.10 €/h neto,VODICE PRI LJUBLJANI,DOPOLDAN,POČITNIŠKO DELO
SESTAVLJANJE,6.50 €/h neto,POŽENIK 10,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V TRGOVINI,7.50 €/h neto,VIŠNJA GORA,PO DOGOVORU,PO DOGOVORU
MONTAŽA,8.50 €/h neto,PO SLOVENIJI,DOPOLDAN,POČITNIŠKO DELO
ADMINISTRATIVNA DELA,6.24 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V KUHINJI,9.47 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
ČIŠČENJE,7.50 €/h neto,MOST NA SOČI,POPOLDAN,POČITNIŠKO DELO
BLAGAJNIK,6.88 €/h neto,CELJE- NOVA VAS,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V STREŽBI,8.00 €/h neto,LJUBLJANA,PO DOGOVORU,POČITNIŠKO DELO
STREŽBA,8.00 €/h neto,LJUBLJANA,MED VIKENDI,POČITNIŠKO DELO
DELO NA TERENU,8.70 €/h neto,SELCA - PO SLOVENIJI,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,PO DOGOVORU,MARIBOR,IZMENSKO,PO DOGOVORU
POMOČ PRI PRODAJI,6.20 €/h neto,NOVO MESTO,IZMENSKO,PO DOGOVORU
POMOČ PRI PRODAJI,6.20 €/h neto,LJUBLJANA BTC,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
FIZIOTERAPIJA,8.00 €/h neto,PIRAN,DOPOLDAN,POČITNIŠKO DELO
ČIŠČENJE,8.00 €/h neto,LJUBLJANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
RAZVOZ,6.50 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
FIZIČNA DELA,8.00 €/h neto,AJDOVŠČINA,IZMENSKO,PO DOGOVORU
POUČEVANJE,8.00 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO NA TERENU,10.00 €/h neto,LJUBLJANA IN OKOLICA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO NA TERENU,10.33 €/h neto,SLOVENIJA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
POUČEVANJE,8.00 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,8.00 €/h neto,MARIBOR,MED VIKENDI,"PO DOGOVORU, OB DOGODKIH"
POMOČ V STREŽBI,7.31 €/h neto,LUKOVICA,IZMENSKO,PO DOGOVORU
DELO V PEKARNI,6.62 €/h neto,SLOVENSKA BISTRICA,PO DOGOVORU,1 MESEC
DELO V PROIZVODNJI,PO DOGOVORU,BEGUNJE,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
FIZIČNA DELA,6.20 €/h neto,ČRNOMELJ,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V SKLADIŠČU,7.10 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,8.00 €/h neto,LJUBLJANA POLJE,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POUČEVANJE,13.00 €/h neto,AJDOVŠČINA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,6.88 €/h neto,BISTRICA OB DRAVI,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
VADITELJ/ICA,13.00 €/h neto,IVANČNA GORICA,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
PROJEKTNO DELO,9.00 €/h neto,MOSTE PRI ŽIROVNICI,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
RAZVOZ,PO DOGOVORU,"RADOVLJICA, BEGUNJE, LESCE",IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
POUČEVANJE,11.00 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
ELEKTROTEHNIČNA DELA,6.31 €/h neto,ZREČE,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
NAKLADANJE/ RAZKLADANJE,8.61 €/h neto,LJUBLJANA,POPOLDAN,ČEZ POČITNICE Z MOŽNOSTJO PODALJŠANJA
MIZARSKA DELA,6.70 €/h neto,LJUTOMER,DOPOLDAN,POČITNIŠKO DELO
POMOČ UPORABNIKOM,6.31 €/h neto,MURSKA SOBOTA,PO DOGOVORU,PO DOGOVORU
DELO V PROIZVODNJI,6.88 €/h neto,KOPER,IZMENSKO,POČITNIŠKO DELO
PAKIRANJE,6.88 €/h neto,LJUBLJANA - BEŽIGRAD,PO DOGOVORU,PO DOGOVORU
POMOČ V STREŽBI,6.20 €/h neto,LJUBLJANA ŠENTVID,MED VIKENDI,POČITNIŠKO DELO
NASTOP,PO DOGOVORU,GROSUPLJE,MED VIKENDI,DLJE ČASA (ZAČ. IN OBČ. DELO)
UČITELJ/ICA PLAVANJA,12.00 €/h neto,KRANJ,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ PRI PRODAJI,7.00 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
SOBAR/ICA,7.00 €/h neto,DOMŽALE,DOPOLDAN,POČITNIŠKO DELO
POLNJENJE POLIC,6.20 €/h neto,MURSKA SOBOTA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
