delo,plača neto,kraj,delovnik,trajanje
DELO Z OTROKI,10.00 €/h neto,MEDVODE,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO Z OTROKI,10.00 €/h neto,ŠKOFJA LOKA,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V LOGISTIKI,8.61 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO NA TERENU,8.50 €/h neto,STARŠE IN DELO NA TERENU,DOPOLDAN,PO DOGOVORU
POMOČ PRI PRODAJI,6.20 €/h neto,LJUBLJANA - BTC,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
LAŽJA FIZIČNA DELA,6.20 €/h neto,LJUBLJANA VIČ,IZMENSKO,POČITNIŠKO DELO
STREŽBA,8.00 €/h neto,MARIBOR,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V SKLADIŠČU,7.12 €/h neto,ŠKOFJA LOKA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V SKLADIŠČU,7.12 €/h neto,MENGEŠ,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
PROMOCIJA,10.00 €/h neto,KRANJ,POPOLDAN,PO DOGOVORU
POMOČ PRI OSKRBI STANOVALCEV,10.00 €/h neto,GROSUPLJE,DOPOLDAN,PO DOGOVORU
ZDRAVSTVENA NEGA,15.00 €/h neto,LJUBLJANA,PO DOGOVORU,PO DOGOVORU
DELO NA RECEPCIJI,8.61 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
PROMOCIJA,10.00 €/h neto,LJUBLJANA,POPOLDAN,PO DOGOVORU
DELO V PROIZVODNJI,6.63 €/h neto,GORNJA RADGONA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
ADMINISTRATIVNA DELA,7.00 €/h neto,MARIBOR,DOPOLDAN,PO DOGOVORU
FIZIČNA DELA,9.06 €/h neto,OBMOČJE OBČINE DESTRNIK,DOPOLDAN,POČITNIŠKO DELO
POMOČ PRI PRODAJI,6.88 €/h neto,LJUBLJANA RUDNIK,IZMENSKO,PO DOGOVORU
POUČEVANJE,13.77 €/h neto,LJUBLJANA,DOPOLDAN,ŠOLSKO LETO 2024/25
POUČEVANJE,13.77 €/h neto,LJUBLJANA,DOPOLDAN,PREDVIDOMA DO 30. 11. 2024
STREŽBA,7.00 €/h neto,SOCKA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
KOMERCIALNA DELA,6.45 €/h neto,KOZINA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,10.00 €/h neto,BLED,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
TRENER/KA,20.00 €/h neto,LJUBLJANA,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
PRODAJA,6.20 €/h neto,NA TERENU,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V STREŽBI,8.00 €/h neto,IZOLA,IZMENSKO,POČITNIŠKO DELO
DIGITALNI MARKETING,8.00 €/h neto,LJUBLJANA / OD DOMA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,8.09 €/h neto,LJUBLJANA VIČ,PO DOGOVORU,PO DOGOVORU
ADMINISTRATIVNA DELA,6.20 €/h neto,CELJE,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
SELITVE,7.74 €/h neto,LJUBLJANA BEŽIGRAD,DOPOLDAN,"TOREK, 13. 8. 2024"
ADMINISTRATIVNA DELA,7.31 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STROKOVNO DELO,6.20 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
RAZVOZ,6.80 €/h neto,DRAGOMER - LOG PRI BREZOVICI,IZMENSKO,PO DOGOVORU
ADMINISTRATIVNA DELA,7.50 €/h neto,KOMENDA,PO DOGOVORU,PREDVIDOMA EN MESEC
ADMINISTRATIVNA DELA,8.00 €/h neto,KOMENDA,PO DOGOVORU,PO DOGOVORU
DELO NA RECEPCIJI,9.20 €/h neto,MARIBOR,POPOLDAN,PO DOGOVORU
ADMINISTRATIVNA DELA,6.72 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
TAJNIŠKA DELA,7.74 €/h neto,LJUBLJANA,DOPOLDAN,CCA 1 MESEC
KLICNI CENTER,7.31 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V LOGISTIKI,7.31 €/h neto,MEDVODE,DOPOLDAN,DLJE ČASA (PO DOGOVORU)
PRODAJA,6.20 €/h neto,LJUBLJANA CENTER,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
